date,tempmax,tempmin,temp,humidity,windspeed,pressure,precip,snow,visibility,cloudcover,conditions
2025-02-19,9.0,6.1,7.7,92.5,58.7,984.4,7.389,0.0,11.0,94.4,"Rain, Overcast"
2025-02-20,7.2,3.1,5.6,88.0,51.9,971.6,2.504,0.0,12.4,84.0,"Rain, Partially cloudy"
2025-02-21,7.0,1.8,4.0,89.7,34.8,962.8,0.202,0.0,13.3,76.6,"Rain, Partially cloudy"
2025-02-22,5.0,2.0,3.3,95.3,19.3,971.7,8.867,0.0,12.8,92.4,"Rain, Overcast"
2025-02-23,6.1,1.9,3.9,88.5,38.5,965.9,4.97,0.0,15.0,93.5,"Snow, Rain, Overcast"
2025-02-24,4.0,-1.0,1.2,83.4,38.4,971.6,0.021,0.0,16.4,71.2,"Snow, Rain, Partially cloudy"
2025-02-25,2.1,-1.0,0.3,81.9,28.2,990.6,1.874,0.1,13.7,90.1,"Snow, Rain, Overcast"
2025-02-26,1.0,-2.9,-0.7,83.5,28.3,995.2,4.998,2.1,11.6,71.2,"Snow, Rain, Partially cloudy"
2025-02-27,5.0,0.0,2.2,84.1,59.8,997.3,2.238,0.1,11.5,85.1,"Snow, Rain, Partially cloudy"
2025-02-28,8.0,-1.0,3.9,81.7,74.9,981.2,18.933,0.2,8.5,81.0,"Snow, Rain, Partially cloudy"
2025-03-01,7.0,-0.7,3.9,86.5,69.5,992.9,6.197,0.2,7.1,96.8,"Snow, Rain, Overcast"
2025-03-02,7.7,-1.0,1.8,76.9,72.8,986.4,13.042,0.8,8.2,88.7,"Snow, Rain, Partially cloudy"
2025-03-03,6.0,-1.5,1.4,85.7,79.4,989.5,3.219,0.6,7.5,97.9,"Snow, Rain, Overcast"
2025-03-04,7.0,-1.6,1.9,80.7,63.9,971.7,17.385,1.9,9.6,88.1,"Snow, Rain, Partially cloudy"
2025-03-05,2.1,0.0,1.2,87.3,46.1,978.9,0.816,0.1,12.9,88.1,"Snow, Rain, Partially cloudy"
2025-03-06,4.0,0.1,1.9,75.6,32.4,993.9,3.031,0.1,13.4,71.2,"Snow, Rain, Partially cloudy"
2025-03-07,3.9,-1.1,0.9,82.6,26.7,1005.7,1.126,0.0,15.5,51.2,"Snow, Rain, Partially cloudy"
2025-03-08,1.9,-3.2,-0.8,85.4,20.9,1019.5,0.074,0.0,17.5,23.1,"Snow, Rain, Partially cloudy"
2025-03-09,5.0,-4.9,1.7,81.5,13.6,1028.6,0.082,0.0,18.3,66.7,"Snow, Rain, Partially cloudy"
2025-03-10,6.2,1.8,4.1,84.7,26.7,1027.8,0.124,0.0,15.8,83.9,"Rain, Partially cloudy"
2025-03-11,5.9,3.9,4.6,90.8,23.7,1023.7,0.802,0.0,10.5,91.3,"Rain, Overcast"
2025-03-12,5.0,3.1,4.2,83.6,27.2,1020.3,0.009,0.0,13.4,92.3,"Rain, Overcast"
2025-03-13,5.3,2.6,4.2,79.1,35.6,1016.8,0.023,0.0,13.8,59.2,"Rain, Partially cloudy"
2025-03-14,6.0,3.0,4.5,91.4,32.9,1014.8,1.119,0.0,9.7,97.0,"Rain, Overcast"
2025-03-15,7.0,3.8,5.3,87.2,23.4,1018.3,0.508,0.0,12.9,93.1,"Rain, Overcast"
2025-03-16,8.1,5.8,6.9,94.5,36.8,1021.4,1.658,0.0,10.8,92.6,"Rain, Overcast"
2025-03-17,8.0,7.0,7.4,92.7,35.1,1019.0,0.012,0.0,11.2,93.1,"Rain, Overcast"
2025-03-18,8.9,6.0,7.1,92.4,23.8,1018.2,4.973,0.0,10.5,91.7,"Rain, Overcast"
2025-03-19,9.0,5.1,7.0,92.6,45.9,1009.0,0.241,0.0,11.6,91.7,"Rain, Overcast"
2025-03-20,7.0,1.1,4.7,88.3,48.9,991.4,12.9,0.0,11.2,94.0,"Rain, Overcast"
2025-03-21,3.9,0.1,1.6,88.0,30.5,989.7,4.67,0.6,13.5,73.1,"Snow, Rain, Partially cloudy"
2025-03-22,5.0,-0.1,2.1,85.4,25.7,999.3,0.447,0.0,14.8,69.2,"Snow, Rain, Partially cloudy"
2025-03-23,5.0,0.8,2.8,85.8,31.6,1001.2,3.014,0.1,14.7,92.9,"Snow, Rain, Overcast"
2025-03-24,7.0,0.0,3.5,89.1,45.2,999.9,4.015,1.1,11.4,97.9,"Snow, Rain, Overcast"
2025-03-25,8.0,4.1,6.0,89.8,33.3,1004.0,0.558,0.0,11.0,87.3,"Rain, Partially cloudy"
2025-03-26,8.0,4.0,6.2,93.6,50.9,989.7,5.52,0.0,7.4,96.3,"Rain, Overcast"
2025-03-27,4.1,1.2,3.2,87.1,34.9,989.2,7.802,0.0,11.9,91.2,"Snow, Rain, Overcast"
2025-03-28,2.3,-0.2,0.7,88.6,12.8,999.6,34.036,1.3,13.2,93.2,"Snow, Rain, Overcast"
2025-03-29,2.1,-0.8,0.9,73.4,32.6,1000.3,0.039,0.0,20.1,75.9,"Snow, Rain, Partially cloudy"
2025-03-30,8.0,-1.1,2.1,78.3,67.6,996.8,4.113,0.7,13.0,90.5,"Snow, Rain, Overcast"
2025-03-31,5.0,1.9,4.0,79.1,76.5,993.3,3.372,0.0,11.2,96.3,"Rain, Overcast"
